["240b1b855dd51215a02da26a3c0c5db9","2019-08-04 00:01:17"]
["53f0f62d6fe736728df69a2ad97db0f4","2019-08-04 00:05:24"]
["f6fc7fafd36af7cd8699dac776ab0558","2019-08-04 00:06:17"]
["7a5c723e9e8d0f58b65340aee05b4f04","2019-08-04 00:11:17"]
["2a914fc2611afb74cf408975b5dd30f1","2019-08-04 00:16:18"]
["7f5abeae4956cd399b5030c19d9f9f42","2019-08-04 00:17:19"]
["05941a8b1697fb560829c6be97993622","2019-08-04 00:21:18"]
["f7c1ea8c817ae23f21f56256ccfda797","2019-08-04 00:24:04"]
["670d9a698b8ee484ea693099d8eab867","2019-08-04 00:24:53"]
["064630cb436e0078085a6a011784d9d4","2019-08-04 00:26:09"]
["98b8d37285e80cacb2b2e69263c4a75a","2019-08-04 00:26:18"]
["350cf3056bb8bd8725b4b1e9431eba60","2019-08-04 00:31:18"]
["67ece7abbd40d9e1e6a27b5664c93d98","2019-08-04 00:34:29"]
["eb0241fb6f389b238c18ac2204534521","2019-08-04 00:36:18"]
["8c88f5a8be7f792627b67f62be76d24e","2019-08-04 00:39:40"]
["bdd2b05f66b6136534b893857898d225","2019-08-04 00:39:40"]
["b5116882425aa725f85d763bf4d5a5bd","2019-08-04 00:39:41"]
["ccb93bd12503827aa3aa00b94e40eaf8","2019-08-04 00:41:19"]
["7d8bc2389dc45ad593eba1f3c6212052","2019-08-04 00:44:49"]
["df0ab6c5807e4f182617104964d038d9","2019-08-04 00:46:19"]
["4fec868960a24d5bc1c49a23a423be8f","2019-08-04 00:46:56"]
["a45af3adeaac413c3b9e66204e6bbdbd","2019-08-04 00:51:19"]
["bc964aac92e04b6b8c9df62dd520ed89","2019-08-04 00:52:49"]
["d3b25ac150a45c62a90223a73ac558f7","2019-08-04 00:53:07"]
["0444a46a9736861984646b035c1231e5","2019-08-04 00:56:19"]
["9a3709fd9c4d12c0ecb461bc87b2f1ab","2019-08-04 01:00:06"]
["562262bbbc30c12081e08dc6b707ad9c","2019-08-04 01:01:20"]
["8fd67a6e3720e0962b7b642d16b00aa9","2019-08-04 01:01:56"]
["1517289b455b4a5344acea28e53f9610","2019-08-04 01:02:34"]
["576c9bc773e529f7a60214305615cbb9","2019-08-04 01:02:37"]
["dda4d420f5bd256cf64afefcd76ece7f","2019-08-04 01:02:57"]
["199ce6b171ba36f79efc6906e856dfb1","2019-08-04 01:02:59"]
["7896de558edac6573ec101dafe36f0b5","2019-08-04 01:06:20"]
["5e434ee1493494dbdd29e2e4ef240d43","2019-08-04 01:11:20"]
["2bc0825b5b26e970c99ec275918620a1","2019-08-04 01:11:24"]
["32fd57d1f2400122f25238dd3ea3f265","2019-08-04 01:15:07"]
["c9348c791a04a12ecb43431ec15aa379","2019-08-04 01:16:21"]
["4460c858b4e1c0b1de4aaffa68aa79e0","2019-08-04 01:19:53"]
["148d5a8d32682e646d1e380c47ee30f1","2019-08-04 01:19:54"]
["c9d01fb551941443e6285853e0194d30","2019-08-04 01:19:56"]
["8b80e4b047349329f99d646082569c7b","2019-08-04 01:19:57"]
["4460c858b4e1c0b1de4aaffa68aa79e0","2019-08-04 01:19:58"]
["cca50dde382ade765fb7efc2976d3ef9","2019-08-04 01:19:59"]
["6f5b63094b26f9da5f1ecc1073f9fc7a","2019-08-04 01:19:59"]
["deaa1dfac9558d67813482f0f6d243d0","2019-08-04 01:19:59"]
["27b7b5bd162c1285cf3d2c3848d11fff","2019-08-04 01:20:00"]
["5ce81901f583b14d889b792abee46252","2019-08-04 01:20:00"]
["72bf38dd6a49548221ca64fdcf5b8622","2019-08-04 01:20:00"]
["9fde15d2a6ee35e6e66e3a8e1c5b3064","2019-08-04 01:20:01"]
["3f1c9990079f8c9cd2cc847f57723a32","2019-08-04 01:20:02"]
["3f1c9990079f8c9cd2cc847f57723a32","2019-08-04 01:20:03"]
["046c05154c6965189e8b72a37013a1a6","2019-08-04 01:20:03"]
["55363aa047f0b9182fe57c2581fae27d","2019-08-04 01:20:04"]
["1c2ef2e87c766c2d4ef89ab49cb5a952","2019-08-04 01:20:04"]
["175ed3b59f36121730f8149152a4d367","2019-08-04 01:20:04"]
["959906c109fbfb479413d67ea6ca8083","2019-08-04 01:20:05"]
["8f874a94ca89ad90dff763e34d83ff00","2019-08-04 01:20:05"]
["25bd6a3171446ea6392dbf369cbf849d","2019-08-04 01:20:05"]
["a52d04a8673b3b22fe460940ce0c8b84","2019-08-04 01:20:06"]
["fee447250df065949125b500987eee1d","2019-08-04 01:20:08"]
["4c9192c1a6fcf52665a7f3917fb616f1","2019-08-04 01:20:08"]
["4b93d3c5a45702159dc4db333daf8dc3","2019-08-04 01:20:09"]
["959906c109fbfb479413d67ea6ca8083","2019-08-04 01:20:10"]
["c8f9e1f159154e245ff5e743e9ff081f","2019-08-04 01:20:11"]
["6593fad63b20a06ea5be8f885767a47b","2019-08-04 01:20:12"]
["65ebafa3a4b507e2798f2d1f3150a738","2019-08-04 01:20:12"]
["7715af1ac6d3e38ade802acb9df71fa6","2019-08-04 01:20:12"]
["a2b075dbeee8e62850c2c66b7f237a80","2019-08-04 01:20:12"]
["d2b828cd44dbee01781c64e41a4f6380","2019-08-04 01:21:21"]
["21ee0b1ee96412993efba43f444bd262","2019-08-04 01:21:52"]
["63a46b040551d55e89f50ff4433a932a","2019-08-04 01:21:52"]
["cf14ed0b4dd248ce02f7e609f264ec61","2019-08-04 01:21:52"]
["2dc20016828e4328b768dfbb30c2593b","2019-08-04 01:26:21"]
["3f2aadfe305ae48429e2d97f1548a309","2019-08-04 01:28:21"]
["f7a92a414bad9b6e586e2874ab28f6c5","2019-08-04 01:28:23"]
["051797c318481a603bd14d48c0489d68","2019-08-04 01:29:07"]
["3f2aadfe305ae48429e2d97f1548a309","2019-08-04 01:29:07"]
["56c897e949fd82701556f246aec1f532","2019-08-04 01:29:36"]
["5b31dcd81e79fa9ce657597c462dc001","2019-08-04 01:29:39"]
["3f2aadfe305ae48429e2d97f1548a309","2019-08-04 01:29:59"]
["98c41b9e2b28070d5ee12468ab4fd950","2019-08-04 01:31:21"]
